time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-21T11:01:58.360Z,17.48,-66.5341,127,3.41,md,5,303,0.5966,0.29,pr,pr2021080005,2021-03-21T12:46:29.844Z,"55 km SSW of Santa Isabel, Puerto Rico",earthquake,6.35,4.94,0.02,2,reviewed,pr,pr
2021-03-21T11:00:21.779Z,-22.7206,-67.0286,197.65,4.6,mb,,94,1.085,0.96,us,us7000dlf6,2021-03-22T05:26:58.191Z,"122 km E of San Pedro de Atacama, Chile",earthquake,7.7,8.7,0.129,18,reviewed,us,us
2021-03-21T10:55:27.268Z,-21.1683,-67.1967,181.78,5,mb,,45,1.995,0.69,us,us7000dlf2,2021-03-21T14:44:03.253Z,"87 km SSW of Uyuni, Bolivia",earthquake,7.4,6.9,0.059,91,reviewed,us,us
2021-03-21T09:32:49.760Z,38.7168333,-112.5521667,-0.01,2.64,ml,24,109,0.1351,0.24,uu,uu60429887,2021-03-22T22:52:38.413Z,"13 km SW of Kanosh, Utah",earthquake,0.53,1.6,0.161,15,reviewed,uu,uu
2021-03-21T07:05:01.580Z,44.2973333,-115.1516667,8.63,2.54,ml,10,67,0.157,0.23,mb,mb80492439,2021-03-22T15:52:37.730Z,"19 km WNW of Stanley, Idaho",earthquake,0.47,1.01,0.243,12,reviewed,mb,mb
2021-03-21T07:00:26.923Z,60.72,-152.7971,126.4,2.5,ml,,,,0.53,ak,ak0213of5ur3,2021-03-21T08:05:40.040Z,"81 km W of Salamatof, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-03-21T06:43:03.582Z,-0.8402,-17.8017,10,4.8,mb,,51,7.836,0.42,us,us7000dle9,2021-03-21T09:55:27.040Z,"north of Ascension Island",earthquake,5.5,1.9,0.078,52,reviewed,us,us
2021-03-21T05:50:07.902Z,59.3435,-143.8474,21.3,2.5,ml,,,,0.66,ak,ak0213oe9o1x,2021-03-21T08:17:13.040Z,"171 km SE of Cordova, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-03-21T05:43:10.170Z,17.9096,-66.9075,10,2.63,md,20,222,0.1492,0.13,pr,pr2021080001,2021-03-21T06:35:40.237Z,"6 km S of Guánica, Puerto Rico",earthquake,0.6,0.72,0.21,11,reviewed,pr,pr
2021-03-21T05:02:07.392Z,14.0444,-92.6128,35,5,mww,,131,1.009,0.78,us,us7000dldd,2021-03-21T06:26:48.694Z,"68 km SW of Ocós, Guatemala",earthquake,5.6,2,0.098,10,reviewed,us,us
2021-03-21T01:18:47.445Z,-20.1695,-70.5728,38.17,4.1,mb,,183,0.539,0.5,us,us7000dlcg,2021-03-22T05:16:12.707Z,"44 km W of Iquique, Chile",earthquake,6.4,10.9,0.233,5,reviewed,us,us
2021-03-21T00:45:33.110Z,-7.3586,128.4765,171.56,5,mb,,62,2.865,0.75,us,us7000dlc7,2021-03-21T01:01:32.040Z,"207 km NE of Lospalos, Timor Leste",earthquake,7.6,6.9,0.072,61,reviewed,us,us
2021-03-20T23:46:00.540Z,3.9404,-71.4195,10,4.9,mb,,119,2.551,1.08,us,us7000dlc1,2021-03-21T00:03:03.040Z,"84 km ESE of Puerto Gaitán, Colombia",earthquake,8.6,1.9,0.035,262,reviewed,us,us
2021-03-20T22:50:39.690Z,35.2051,27.5131,24.11,4.7,mb,,42,0.446,0.94,us,us7000dlb9,2021-03-20T23:07:44.040Z,"43 km SE of Karpathos, Greece",earthquake,5.6,5.2,0.058,93,reviewed,us,us
2021-03-20T22:49:23.210Z,34.0411667,-117.6045,4.52,3.05,ml,123,15,0.05098,0.2,ci,ci39586079,2021-03-23T15:20:14.630Z,"2km ESE of Ontario, CA",earthquake,0.1,0.27,0.225,217,reviewed,ci,ci
